title,author,journal,search,population,island,region,time.series,native.species,survey.freq,ecosystem,continent,kingdom,major.group,species.names,common.name,digitized,plot,group,longevity.yrs
Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions,Strayer SI,Y,Y,Hawaii,Y,N,Yearly,Terrestrial,North America,Animalia,Aves,Lonchura atricapilla,Chestnut Mannikin,Y,047_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.1.jpg,1,6.902
Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions,Strayer SI,Y,Y,Hawaii,Y,N,Yearly,Terrestrial,North America,Animalia,Aves,Acridotheres tristis,Common Myna,Y,048_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.2.jpg,1,12.2
Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions,Strayer SI,Y,Y,Hawaii,Y,N,Yearly,Terrestrial,North America,Animalia,Aves,Garrulax pectoralis,Greater Necklaced Laughingthrush,Y,049_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.3.jpg,1,10.058
Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions,Strayer SI,Y,Y,Hawaii,Y,N,Yearly,Terrestrial,North America,Animalia,Aves,Haemorhous mexicanus,House Finch,Y,050_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.4.jpg,1,11.6
Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions,Strayer SI,Y,Y,Hawaii,Y,N,Yearly,Terrestrial,North America,Animalia,Aves,Passer domesticus,House Sparrow,Y,051_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.5.jpg,1,19.9
Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions,Strayer SI,Y,Y,Hawaii,Y,N,Yearly,Terrestrial,North America,Animalia,Aves,Garrulax canorus,Hwamei,Y,052_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.6.jpg,1,8.835
Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions,Strayer SI,Y,Y,Hawaii,Y,N,Yearly,Terrestrial,North America,Animalia,Aves,Euodice cantans,Indian Silverbill,Y,053_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.7.jpg,1,10
Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions,Strayer SI,Y,Y,Hawaii,Y,N,Yearly,Terrestrial,North America,Animalia,Aves,Horonis diphone,Japanese Bush-Warbler,Y,054_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.8.jpg,1,7.609
Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions,Strayer SI,Y,Y,Hawaii,Y,N,Yearly,Terrestrial,North America,Animalia,Aves,Zosterops japonicus,Japanese White-eye,Y,055_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.9.jpg,1,8.85
Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions,Strayer SI,Y,Y,Hawaii,Y,N,Yearly,Terrestrial,North America,Animalia,Aves,Lonchura oryzivora,Java Sparrow,Y,056_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.10.jpg,1,7.866
