REGION,CUM,YEAR,PERIOD,MONTH,DAY,SITE,TRANSECT,SPECIES,SL,TL,WEIGHT,COND,TEMP,DEPTH,COMMENT,ENTERED BY,CHECKED BY,
SRS,12,1998,2,5,11,08C,.,AMENAT,19.1,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,AMENAT,21.3,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,AMENAT,16.3,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,AMENAT,19.4,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,AMENAT,17.8,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,AMENAT,16.1,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,AMENAT,17.6,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,ERISUC,15,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,LEPGUL,15.8,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,LEPPUN,11.9,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,ERISUC,15.5,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,ERISUC,14.1,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,LEPGUL,14.3,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,LEPGUL,17.1,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,LEPGUL,15.7,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,LEPGUL,11.8,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,LEPGUL,16.9,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,ERISUC,14.8,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,LEPPUN,10.2,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,ERISUC,10.8,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,AMENAT,19.2,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,AMENAT,20.1,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,LEPPLA,44.4,51.9,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,CLABAT,22,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,LEPGUL,15.3,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,08C,.,LEPGUL,14.9,.,.,575,29,100,.,.,.,
SRS,12,1998,2,5,11,AH11,.,AMENAT,18.6,.,.,575,32,97,.,.,.,
SRS,12,1998,2,5,11,AH11,.,AMENAT,20.8,.,.,575,32,97,.,.,.,
SRS,12,1998,2,5,11,AH11,.,AMENAT,23.3,.,.,575,32,97,.,.,.,
SRS,12,1998,2,5,11,AH11,.,AMENAT,20.7,.,.,575,32,97,.,.,.,
SRS,12,1998,2,5,11,AH11,.,AMENAT,22.2,.,.,575,32,97,.,.,.,
SRS,12,1998,2,5,11,AH11,.,AMENAT,23,.,.,575,32,97,.,.,.,
