LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName,RelUncertaintyPercent,OrigObsDataID,ErrorRisk,Reference,Comment,StdValueStr,Column1
Moles,Angela,28,"Global Seed Mass, Plant Height Database",Bromus tectorum,8548,Bromus tectorum,1296447,8858370,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",perenniality,annual,NN,Single,,,,,year,,,,"Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.",,,
Moles,Angela,28,"Global Seed Mass, Plant Height Database",Bromus tectorum,8548,Bromus tectorum,1296785,8864310,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",perenniality,annual,NN,Single,,,,,year,,,,"Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.",,,
Moles,Angela,28,"Global Seed Mass, Plant Height Database",Bromus tectorum,8548,Bromus tectorum,1297090,8869924,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",perenniality,annual,NN,Single,,,,,year,,,,"Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.",,,
Moles,Angela,28,"Global Seed Mass, Plant Height Database",Agropyron imbricatum,1833,Agropyron cristatum,1297094,8870004,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",perenniality,perennial,NN,Single,,,,,year,,,,"Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.",,,
Moles,Angela,28,"Global Seed Mass, Plant Height Database",Salsola tragus,432830,Kali tragus,1297533,8876659,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",perenniality,annual,NN,Single,,,,,year,,,,"Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.",,,
Moles,Angela,28,"Global Seed Mass, Plant Height Database",Bromus tectorum,8548,Bromus tectorum,1297604,8878009,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",perenniality,annual,NN,Single,,,,,year,,,,"Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.",,,
Moles,Angela,28,"Global Seed Mass, Plant Height Database",Sisymbrium altissimum,50412,Sisymbrium altissimum,1298109,8888584,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",perenniality,annual,NN,Single,,,,,year,,,,"Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.",,,
Moles,Angela,28,"Global Seed Mass, Plant Height Database",Sisymbrium altissimum,50412,Sisymbrium altissimum,1298154,8889463,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",perenniality,annual,NN,Single,,,,,year,,,,"Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.",,,
Díaz,Sandra,86,Sheffield-Iran-Spain Database,Agropyron imbricatum,1833,Agropyron cristatum,158101,1661169,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",Life history,perennial,NN,Mean,,,,,year,,,,"Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.",Life span: Ordinal: 1 = annual; 2 = biennial; 3 = perennial,,
Díaz,Sandra,86,Sheffield-Iran-Spain Database,Alyssum desertorum,3044,Alyssum desertorum,158111,1661449,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",Life history,annual,NN,Mean,,,,,year,,,,"Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.",Life span: Ordinal: 1 = annual; 2 = biennial; 3 = perennial,,
Díaz,Sandra,86,Sheffield-Iran-Spain Database,Bromus tectorum,8548,Bromus tectorum,158127,1661897,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",Life history,annual,NN,Mean,,,,,year,,,,"Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.",Life span: Ordinal: 1 = annual; 2 = biennial; 3 = perennial,,
Kühn,Ingolf,4,BiolFlor Database,Bromus tectorum,8548,Bromus tectorum,597867,2973092,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",PlantLifeSpan,always annual,NN,Single,,,,,year,,,,"Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.",,,
Kühn,Ingolf,4,BiolFlor Database,Ceratophyllum demersum,11831,Ceratophyllum demersum,598119,2976939,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",PlantLifeSpan,always pluriennial-pollakanthic,NN,Single,,,,,year,,,,"Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.",,,
Kühn,Ingolf,4,BiolFlor Database,Myriophyllum spicatum,37615,Myriophyllum spicatum,599212,2993598,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",PlantLifeSpan,always pluriennial-pollakanthic,NN,Single,,,,,year,,,,"Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.",,,
Kühn,Ingolf,4,BiolFlor Database,Najas marina,37722,Najas marina,599216,2993652,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",PlantLifeSpan,always annual,NN,Single,,,,,year,,,,"Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.",,,
Kühn,Ingolf,4,BiolFlor Database,Salsola tragus,432830,Kali tragus,599756,3001879,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",PlantLifeSpan,always annual,NN,Single,,,,,year,,,,"Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.",,,
Kühn,Ingolf,4,BiolFlor Database,Sisymbrium altissimum,50412,Sisymbrium altissimum,599925,3004456,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",PlantLifeSpan,always annual,NN,Single,,,,,year,,,,"Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.",,,
Wright,Ian,65,Overton/Wright New Zealand Database,Bromus tectorum,8548,Bromus tectorum,753417,3377542,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",Annual/Biennial/Perrenial,annual,NN,Single,,,,,year,,,,unpub.,,,
Poschlod,Peter,71,BIOPOP: Functional Traits for Nature Conservation,Bromus tectorum,8548,Bromus tectorum,822056,4861335,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",Life span,biennial,NN,Single,,,,,year,,,,"Poschlod, P., M. Kleyer, A. K. Jackel, A. Dannemann, and O. Tackenberg. 2003. BIOPOP - a database of plant traits and Internet application for nature conservation. Folia Geobotanica 38:263-271.",Plant life span,,
Poschlod,Peter,71,BIOPOP: Functional Traits for Nature Conservation,Bromus tectorum,8548,Bromus tectorum,822059,4861347,59,Plant lifespan (longevity),190,"Plant lifespan, longevity, plant maximum age",Life span,summer annual,NN,Single,,,,,year,,,,"Poschlod, P., M. Kleyer, A. K. Jackel, A. Dannemann, and O. Tackenberg. 2003. BIOPOP - a database of plant traits and Internet application for nature conservation. Folia Geobotanica 38:263-271.",Plant life span,,
