country,continent,island
Uganda,Africa,N
Seychelles,Africa,Y
Mauritius,Africa,Y
Djibouti,Africa,N
Botswana,Africa,N
Lesotho,Africa,N
Mozambique,Africa,N
Namibia,Africa,N
South Africa,Africa,N
Eswatini,Africa,N
"Tanzania, United Republic Of",Africa,N
Kenya,Africa,N
Côte D'Ivoire,Africa,N
Nigeria,Africa,N
Ethiopia,Africa,N
"Congo, The Democratic Republic Of The",Africa,N
Cameroon,Africa,N
Central African Republic,Africa,N
Niger,Africa,N
Zambia,Africa,N
Rwanda,Africa,N
Zimbabwe,Africa,N
Comoros,Africa,Y
Senegal,Africa,N
Malawi,Africa,N
New Zealand,Oceania,Y
Norfolk Island,Oceania,Y
Australia,Oceania,Y
United States,North America,N
French Polynesia,Oceania,Y
Guam,Oceania,Y
India,Asia,N
Pakistan,Asia,N
Nepal,Asia,N
Bangladesh,Asia,N
China,Asia,N
Malaysia,Asia,N
Indonesia,Asia,N
Viet Nam,Asia,N
Puerto Rico,North America,Y
Dominica,North America,Y
Bahamas,North America,Y
"Venezuela, Bolivarian Republic Of",South America,N
Cayman Islands,North America,Y
Saint Lucia,North America,Y
Paraguay,South America,N
Chile,South America,N
Brazil,South America,N
Costa Rica,North America,N
Panama,North America,N
"Virgin Islands, British",North America,Y
United Kingdom,Europe,N
Sweden,Europe,N
Netherlands,Europe,N
Denmark,Europe,N
Germany,Europe,N
Greenland,North America,Y
Svalbard And Jan Mayen,Europe,Y
Azerbaijan,Asia,N
Poland,Europe,N
Serbia,Europe,N
Russian Federation,Europe,N
Estonia,Europe,N
Finland,Europe,N
Bulgaria,Europe,N
Latvia,Europe,N
Morocco,Africa,N
Türkiye,Asia,N
France,Europe,N
Spain,Europe,N
Italy,Europe,N
Austria,Europe,N
Hungary,Europe,N
Switzerland,Europe,N
Lithuania,Europe,N
Slovakia,Europe,N
Portugal,Europe,N
Norway,Europe,N
Czechia,Europe,N
Slovenia,Europe,N
Croatia,Europe,N
Romania,Europe,N
Greece,Europe,N
Uzbekistan,Asia,N
Israel,Asia,N
Tajikistan,Asia,N
Belgium,Europe,N
Algeria,Africa,N
Japan,Asia,Y
"Iran, Islamic Republic Of",Asia,N
Mongolia,Asia,N
Ukraine,Europe,N
Kazakhstan,Asia,N
Turkmenistan,Asia,N
Albania,Europe,N
Papua New Guinea,Oceania,N
Mali,Africa,N
Hong Kong,Asia,N
Philippines,Asia,Y
Canada,North America,N
Mexico,North America,N
"Bolivia, Plurinational State Of",South America,N
Peru,South America,N
Guatemala,North America,N
Dominican Republic,North America,N
Ecuador,South America,N
Iceland,Europe,Y
Faroe Islands,Europe,Y
International Waters,Other,N
South Georgia And The South Sandwich Islands,South America,Y
Ireland,Europe,Y
Cuba,North America,Y
Argentina,South America,N
Malta,Europe,Y
Cyprus,Europe,Y
Bermuda,North America,Y
Western Sahara,Africa,N
Suriname,South America,N
"Virgin Islands, U.S.",North America,Y
Antigua And Barbuda,North America,Y
United States Minor Outlying Islands,Oceania,Y
"Taiwan, Province Of China",Asia,Y
Christmas Island,Asia,Y
United Arab Emirates,Asia,N
French Southern Territories,Antarctica,Y
Antarctica,Antarctica,N
Heard Island And McDonald Islands,Antarctica,Y
Falkland Islands (Malvinas),South America,Y
Colombia,South America,N
Cook Islands,Oceania,Y
"Saint Helena, Ascension And Tristan Da Cunha",Africa,Y
Myanmar,Asia,N
Guinea Bissau,Africa,N
Saudi Arabia,Asia,N
Thailand,Asia,N
Angola,Africa,N
Oman,Asia,N
American Samoa,Oceania,Y
Burundi,Africa,N
British Indian Ocean Territory,Asia,Y
"Korea, Republic Of",Asia,N
Benin,Africa,N
Belarus,Europe,N
South Sudan,Africa,N
Chad,Africa,N
Somalia,Africa,N
Ghana,Africa,N
Mauritania,Africa,N
Madagascar,Africa,Y
Liberia,Africa,N
Sierra Leone,Africa,N
Guinea,Africa,N
Gabon,Africa,N
Gibraltar,Europe,N
French Guiana,South America,N
Lao People's Democratic Republic,Asia,N
Syrian Arab Republic,Asia,N
Tunisia,Africa,N
Samoa,Oceania,Y
Montenegro,Europe,N
North Macedonia,Europe,N
Egypt,Africa,N
Belize,North America,N
Fiji,Oceania,Y
Uruguay,South America,N
Jersey,Europe,Y
Barbados,North America,Y
Sri Lanka,Asia,Y
Solomon Islands,Oceania,Y
Kuwait,Asia,N
Guadeloupe,North America,Y
Kiribati,Oceania,Y
Cambodia,Asia,N
New Caledonia,Oceania,Y
Cabo Verde,Africa,Y
Saint Kitts And Nevis,North America,Y
Northern Mariana Islands,Oceania,Y
Åland Islands,Europe,Y
Andorra,Europe,N
Tonga,Oceania,Y
Trinidad And Tobago,South America,Y
Haiti,North America,N
Honduras,North America,N
Guyana,South America,N
Singapore,Asia,Y
Jordan,Asia,N
CuraÃ§ao,North America,Y
"Bonaire, Saint Eustatius And Saba",North America,Y
Maldives,Asia,Y
Jamaica,North America,Y
Congo,Africa,N
Cocos (Keeling) Islands,Asia,Y
Equatorial Guinea,Africa,N
Nicaragua,North America,N
Bosnia And Herzegovina,Europe,N
Montserrat,North America,Y
Vanuatu,Oceania,Y
Luxembourg,Europe,N
Burkina Faso,Africa,N
Armenia,Asia,N
Georgia,Asia,N
Réunion,Africa,Y
