value
Apis mellifera
Oryzias latipes
Ballerus ballerus
Carassius auratus
Ctenopharyngodon idella
Cyprinus carpio
Hemiculter leucisculus
Hypophthalmichthys molitrix
Hypophthalmichthys nobilis
Pseudorasbora parva
Rhodeus sinensis
Gambusia affinis
Gambusia holbrooki
Rhinogobius similis
Oncorhynchus mykiss
Pseudepidalea viridis
Cervus elaphus
Cyperus rotundus
Cynodon dactylon
Echinochloa crus-galli
Imperata cylindrica
Lolium temulentum
Erigeron bonariensis
Erigeron sumatrensis
Rhaponticum repens
Taraxacum croceum
Xanthium spinosum
Bougainvillea glabra
Albizia julibrissin
Albizia lebbeck
Cassia fistula
Cercis griffithii
Gleditsia triacanthos
Robinia pseudoacacia
Senegalia modesta
Lamium amplexicaule
Fraxinus floribunda
Jasminum humile
Syringa emodi
Lantana camara
Ricinus communis
Bombax ceiba
Hibiscus mutabilis
Hibiscus syriacus
Callistemon viminalis
Syzygium cumini
Piper nigrum
Grevillea robusta
Elaeagnus umbellata
Ficus benghalensis
Ficus religiosa
Ziziphus mauritiana
Prunus dulcis
Rosa moschata
Ulmus wallichiana
Mangifera indica
Melia azedarach
Toona ciliata
Acer oblongum
Dodonaea viscosa
Ailanthus altissima
Ailanthus excelsa
Cuscuta campestris
Araucaria japonica
Cryptomeria japonica
Cupressus arizonica
Platycladus orientalis
Pinus halepensis
Pinus roxburghii
Neodiaptomus schmackeri
Harmonia axyridis
Rhynchophorus ferrugineus
Aedes albopictus
Percnon gibbesi
Callinectes sapidus
Carassius carassius
Carassius gibelio
Megalobrama amblycephala
Megalobrama terminalis
Mylopharyngodon piceus
Parabramis pekinensis
Tinca tinca
Poecilia reticulata
Lepomis gibbosus
Perca fluviatilis
Sander lucioperca
Salvelinus fontinalis
Thymallus thymallus
Ameiurus melas
Phasianus colchicus
Oryctolagus cuniculus
Mus musculus
Rattus norvegicus
Rattus rattus
Myocastor coypus
Pinctada imbricata
Cornu aspersum
Theba pisana
Caulerpa racemosa
Caulerpa taxifolia
Codium fragile
Asparagopsis taxiformis
Lophocladia lallemandii
Ganonema farinosum
Lemna minuta
Zantedeschia aethiopica
Elodea canadensis
Elodea nuttallii
Halophila stipulacea
Najas graminea
Phoenix canariensis
Washingtonia filifera
Washingtonia robusta
Allium cepa
Allium porrum
Allium sativum
Narcissus pseudonarcissus
Agave americana
Yucca filamentosa
Hemerocallis fulva
Hemerocallis lilioasphodelus
Iris pallida
Iris germanica
