ID,Year,Date,Season,River,Creek,Bout,Distance,DOMGL,Salinity,TempC,Catch,CPUE,test.total
10EARLYDRYRB101,10,2014-02-23,EARLYDRY,RB,10,1,97,4.48,0.3,24.2,39,40,35
10EARLYDRYRB102,10,2014-02-23,EARLYDRY,RB,10,2,95,5.44,0.3,25.5,33,35,22
10EARLYDRYRB103,10,2014-02-23,EARLYDRY,RB,10,3,76,5.83,0.3,25.9,28,37,22
10EARLYDRYRB111,10,2014-03-03,EARLYDRY,RB,11,1,87,4.02,0.3,28.3,59,68,58
10EARLYDRYRB112,10,2014-03-03,EARLYDRY,RB,11,2,90,4.11,0.3,21,59,66,54
10EARLYDRYRB113,10,2014-03-03,EARLYDRY,RB,11,3,71,5.1,0.3,22.2,67,94,61
10EARLYDRYRB122,10,2014-02-22,EARLYDRY,RB,12,2,110,3.38,0.4,23.2,12,11,5
10EARLYDRYRB123,10,2014-02-22,EARLYDRY,RB,12,3,108,3.32,0.4,23.2,42,39,38
10EARLYDRYRB131,10,2014-03-03,EARLYDRY,RB,13,1,85,4.86,0.3,22.9,25,29,22
10EARLYDRYRB132,10,2014-03-03,EARLYDRY,RB,13,2,110,4.67,0.3,22.7,31,28,29
10EARLYDRYRB133,10,2014-03-03,EARLYDRY,RB,13,3,105,4.5,0.3,23.1,14,13,13
10EARLYDRYRB143,10,2014-03-03,EARLYDRY,RB,14,3,125,4.2,0.4,23.1,27,22,24
10EARLYDRYRB152,10,2014-03-04,EARLYDRY,RB,15,2,87,2.13,0.7,23.5,7,8,4
10EARLYDRYRB153,10,2014-03-04,EARLYDRY,RB,15,3,97,2.65,0.6,23.5,24,25,1
10EARLYDRYRB163,10,2014-02-22,EARLYDRY,RB,16,3,99,4.51,0.6,24.1,4,4,3
10EARLYDRYRB181,10,2014-03-04,EARLYDRY,RB,18,1,95,4.22,0.4,22.2,42,44,39
10EARLYDRYRB182,10,2014-03-04,EARLYDRY,RB,18,2,100,4.2,0.3,22.5,53,53,52
10EARLYDRYRB193,10,2014-02-22,EARLYDRY,RB,19,3,105,4.22,0.4,25,12,11,4
10EARLYDRYRB71,10,2014-03-04,EARLYDRY,RB,7,1,95,3.25,0.5,21.8,20,21,15
10EARLYDRYRB73,10,2014-03-04,EARLYDRY,RB,7,3,85,3.41,0.4,22.4,5,6,4
10EARLYDRYRB81,10,2014-02-23,EARLYDRY,RB,8,1,77,3.68,0.3,22.7,24,31,23
10EARLYDRYRB82,10,2014-02-23,EARLYDRY,RB,8,2,78,3.68,0.3,22.9,37,47,36
10EARLYDRYRB83,10,2014-02-23,EARLYDRY,RB,8,3,81,3.54,0.3,23.1,33,41,31
10EARLYDRYRB91,10,2014-02-23,EARLYDRY,RB,9,1,78,3.39,0.3,22.9,28,36,26
10EARLYDRYRB92,10,2014-02-23,EARLYDRY,RB,9,2,70,3.2,0.3,23.3,33,47,26
10EARLYDRYRB93,10,2014-02-23,EARLYDRY,RB,9,3,90,3.53,0.3,23.8,46,51,39
10EARLYDRYTB11,10,2014-02-24,EARLYDRY,TB,1,1,79,3.3,1.5,26.6,16,20,8
10EARLYDRYTB12,10,2014-02-24,EARLYDRY,TB,1,2,100,5.3,1.8,28.1,9,9,5
10EARLYDRYTB13,10,2014-02-24,EARLYDRY,TB,1,3,85,5.32,1.8,28.3,8,9,7
10EARLYDRYTB21,10,2014-02-24,EARLYDRY,TB,2,1,95,4.4,1.4,26.8,13,14,10
10EARLYDRYTB22,10,2014-02-24,EARLYDRY,TB,2,2,85,5.7,1.6,27.1,10,12,7
10EARLYDRYTB23,10,2014-02-24,EARLYDRY,TB,2,3,71,5.33,1.4,27.8,19,27,14
10EARLYDRYTB31,10,2014-02-24,EARLYDRY,TB,3,1,95,3.7,0.9,25.1,31,33,27
10EARLYDRYTB32,10,2014-02-24,EARLYDRY,TB,3,2,100,3.89,1,25.4,9,9,7
10EARLYDRYTB33,10,2014-02-24,EARLYDRY,TB,3,3,79,3.39,0.9,25.4,6,8,5
10EARLYDRYTB41,10,2014-02-24,EARLYDRY,TB,4,1,100,2.78,0.9,25,11,11,3
10LATEDRYRB101,10,2014-05-05,LATEDRY,RB,10,1,68,3.04,1.5,24.6,57,84,51
10LATEDRYRB102,10,2014-05-05,LATEDRY,RB,10,2,68,4.06,1.2,25.4,43,63,36
10LATEDRYRB103,10,2014-05-05,LATEDRY,RB,10,3,59,3.89,1.1,25.6,61,103,50
10LATEDRYRB111,10,2014-04-28,LATEDRY,RB,11,1,60,4.32,0.7,27,57,95,51
10LATEDRYRB112,10,2014-04-28,LATEDRY,RB,11,2,60,4.44,0.6,27.3,63,105,50
10LATEDRYRB113,10,2014-04-28,LATEDRY,RB,11,3,70,5.33,0.6,27.7,43,61,35
10LATEDRYRB121,10,2014-04-27,LATEDRY,RB,12,1,85,2.52,3,24.7,21,25,5
10LATEDRYRB122,10,2014-04-27,LATEDRY,RB,12,2,92,2.37,2.9,24.8,17,18,15
10LATEDRYRB123,10,2014-04-27,LATEDRY,RB,12,3,85,2.55,2.8,25.2,27,32,22
10LATEDRYRB132,10,2014-04-28,LATEDRY,RB,13,2,70,4.61,1.2,27.6,22,31,15
10LATEDRYRB133,10,2014-04-28,LATEDRY,RB,13,3,77,5.12,1.5,27.9,32,41,30
10LATEDRYRB141,10,2014-04-27,LATEDRY,RB,14,1,92,1.9,4.9,28.2,2,2,1
10LATEDRYRB142,10,2014-04-27,LATEDRY,RB,14,2,100,2.03,4.5,28.1,2,2,0
10LATEDRYRB143,10,2014-04-27,LATEDRY,RB,14,3,82,1.74,5.1,26.3,12,15,10
10LATEDRYRB181,10,2014-04-27,LATEDRY,RB,18,1,NA,5.36,2.2,29.8,11,NA,8
10LATEDRYRB183,10,2014-04-27,LATEDRY,RB,18,3,82,5.01,2.1,29.3,10,12,9
10LATEDRYRB71,10,2014-04-28,LATEDRY,RB,7,1,126,1.8,1.9,27.8,33,26,23
10LATEDRYRB72,10,2014-04-28,LATEDRY,RB,7,2,86,2.04,1.8,27.8,17,20,10
10LATEDRYRB73,10,2014-04-28,LATEDRY,RB,7,3,76,1.77,1.7,27.8,30,39,14
10LATEDRYRB81,10,2014-05-04,LATEDRY,RB,8,1,70,4.28,5.8,28.9,9,13,8
10LATEDRYRB82,10,2014-05-04,LATEDRY,RB,8,2,73,4.03,5,28.7,19,26,13
10LATEDRYRB83,10,2014-05-04,LATEDRY,RB,8,3,68,4.43,4.7,28.9,20,29,4
10LATEDRYRB91,10,2014-05-05,LATEDRY,RB,9,1,70,2.58,1.1,23.3,49,70,30
10LATEDRYRB92,10,2014-05-05,LATEDRY,RB,9,2,62,2.57,1,23.4,52,84,40
10LATEDRYRB93,10,2014-05-05,LATEDRY,RB,9,3,60,2.67,1,23.7,35,58,19
10TRANSRB101,10,2013-11-17,TRANS,RB,10,1,132,3.93,0.2,24.8,114,86,46
10TRANSRB101,10,2014-01-21,TRANS,RB,10,1,121,6.45,0.3,17,114,94,42
10TRANSRB101,10,2014-03-23,TRANS,RB,10,1,87,3.75,0.4,24.7,114,131,95
10TRANSRB101,10,2014-05-31,TRANS,RB,10,1,80,3.5,3.1,26,114,143,91
10TRANSRB101,10,2014-07-09,TRANS,RB,10,1,83,2.79,0.2,29,114,137,71
10TRANSRB102,10,2013-11-17,TRANS,RB,10,2,101,4.17,0.2,25,96,95,32
10TRANSRB102,10,2014-01-21,TRANS,RB,10,2,99,6.71,0.3,17.2,96,97,46
10TRANSRB102,10,2014-03-23,TRANS,RB,10,2,85,3.46,0.4,25.6,96,113,65
10TRANSRB102,10,2014-05-31,TRANS,RB,10,2,92,3.9,3.1,26.2,96,104,54
10TRANSRB102,10,2014-07-09,TRANS,RB,10,2,89,3.24,0.2,29.3,96,108,19
10TRANSRB103,10,2013-11-17,TRANS,RB,10,3,108,4.55,0.2,25.2,74,69,37
10TRANSRB103,10,2014-01-21,TRANS,RB,10,3,121,6.43,0.3,17.3,74,61,33
10TRANSRB103,10,2014-03-23,TRANS,RB,10,3,87,3.49,0.4,26.4,74,85,51
10TRANSRB103,10,2014-05-31,TRANS,RB,10,3,74,4.02,3,26.5,74,100,34
