Figure,id,x,y,group,col,pch,y_variable,x_variable
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Blue Mussel,1984,1216.374269,1,red,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Blue Mussel,1990,1397.660819,1,red,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Blue Mussel,1991,1695.906433,1,red,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Blue Mussel,1992,1842.105263,1,red,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Blue Mussel,1993,912.2807018,1,red,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Blue Mussel,1997,900.5847953,1,red,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Blue Mussel,1999,555.5555556,1,red,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Blue Mussel,2000,263.1578947,1,red,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Blue Mussel,2001,298.245614,1,red,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Blue Mussel,2002,426.9005848,1,red,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Blue Mussel,2003,467.8362573,1,red,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Blue Mussel,2004,421.0526316,1,red,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Blue Mussel,2005,356.7251462,1,red,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Pacific Oyster,2003,64.32748538,2,green,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Pacific Oyster,2004,181.2865497,2,green,19,Density (g AFDW/M^2),year
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,Pacific Oyster,2005,222.2222222,2,green,19,Density (g AFDW/M^2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Blue Mussel,1984,1380.191693,1,red,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Blue Mussel,1990,3220.447284,1,red,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Blue Mussel,1991,2019.169329,1,red,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Blue Mussel,1993,2760.383387,1,red,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Blue Mussel,1997,6287.539936,1,red,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Blue Mussel,1998,2351.4377,1,red,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Blue Mussel,1999,1431.309904,1,red,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Blue Mussel,2000,1124.600639,1,red,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Blue Mussel,2001,1124.600639,1,red,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Blue Mussel,2002,1533.546326,1,red,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Blue Mussel,2003,1610.223642,1,red,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Pacific Oyster,2003,306.7092652,2,green,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Blue Mussel,2004,1124.600639,1,red,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Blue Mussel,2005,1303.514377,1,red,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Pacific Oyster,2004,511.1821086,2,green,19,Density (n/m2),year
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,Pacific Oyster,2005,460.0638978,2,green,19,Density (n/m2),year
114_Cecereetal_BotanicaMarina_2016_Fig2.jpg,,2000,2.258064516,1,red,19,Density (n/m2),year
114_Cecereetal_BotanicaMarina_2016_Fig2.jpg,,2000.916667,0.080645161,1,red,19,Density (n/m2),year
114_Cecereetal_BotanicaMarina_2016_Fig2.jpg,,2000.083333,5.322580645,1,red,19,Density (n/m2),year
114_Cecereetal_BotanicaMarina_2016_Fig2.jpg,,2000.166667,6.048387097,1,red,19,Density (n/m2),year
114_Cecereetal_BotanicaMarina_2016_Fig2.jpg,,2000.25,6.370967742,1,red,19,Density (n/m2),year
114_Cecereetal_BotanicaMarina_2016_Fig2.jpg,,2000.333333,5.725806452,1,red,19,Density (n/m2),year
114_Cecereetal_BotanicaMarina_2016_Fig2.jpg,,2000.416667,1.78E-15,1,red,19,Density (n/m2),year
