TITLE,CONTACT_1,CONTACT_2,WEB_LINK,DATA_SOURCE
Windstorm disturbance without patch dynamics twelve years of change in a Minnesota forest,Sara Webb,Sara Scanga,http://esapubs.org/archive/ecol/E082/011/default.htm,Ecology
Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Luke Zachmann,NA,http://esapubs.org/archive/ecol/E091/243/default.htm,Ecology
Long-term phytoplankton community dynamics in the Western English Channel,Claire Widdicombe,NA,http://plankt.oxfordjournals.org/content/32/5.toc,Oxford Journals
Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook,Richard Holmes,Tom Sherry,http://www.esajournals.org/toc/emon/56/3,Ecology
Time and space and the variation of species,Author now deceased,Queries at Ecology,http://www.esajournals.org/toc/ecol/41/4,Ecology
MCR LTER Coral Reef Long-term Population and Community Dynamics Fishes,Andrew Brooks,LTER contact,http://mcr.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-mcr.6,Moorea Coral Reef LTER
Skokholm Bird Observatory,Mark Williamson,NA,http://ecologicaldata.org/wiki/skokholm-bird-observatory,Eco Data Wiki
Detection of Density-Dependent Effects in Annual Duck Censuses,William Vickery,Tom Nudds,http://www.esajournals.org/toc/ecol/65/1,Ecology
Fluctuations and long-term in the relative densities of tetraonid populations in Finland. 1964-77,Harto Linden,Global Population Dynamics Database,http://www3.imperial.ac.uk/cpb/databases/gpdd,Global Population Dynamics Database
A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest Lapland over 13 winters,Erkki Pulliainen,Global Population Dynamics Database,http://www3.imperial.ac.uk/cpb/databases/gpdd,Global Population Dynamics Database
An 11-year study of small mammal populations at Mont St. Hilaire. Quebec,Peter Grant,Global Population Dynamics Database,http://www3.imperial.ac.uk/cpb/databases/gpdd,Global Population Dynamics Database
El Verde Grid invertebrate data (Big Grid Snail Captures 1991-2007),Christopher Bloch,Michael Willig,http://luq.lternet.edu/data/luqmetadata107/7427,Luquillo LTER
Small Mammal Mark-Recapture Population Dynamics at Core Research Sites,Seth Newsome,Mike Friggens,http://sev.lternet.edu/data/sev-8,Sevilleta LTER
Avian populations long-term monitoring dataset. San Juan. Puerto Rico Luquillo Long Term Ecological Research Site Database Grid points bird counts DBAS 23,Robert Waide,E Melendez,http://luq.lternet.edu/data/luqmetadata23,Luquillo LTER
Long-term monitoring and experimental manipulation of a Chihuahuan Desert ecosystem near Portal. Arizona. USA,Morgan Ernest,Thomas Valone,http://esapubs.org/archive/ecol/E090/118/default.htm,Ecology
Forest Census Plot on Barro Colorado Island,Stephen Hubbell,Richard Condit,http://ctfs.si.edu/,SmithsonianTropical Research Institute
Animal Demography Unit - Coordinated Waterbird Counts (CWAC) (AfrOBIS),Michael Brooks,NA,http://www.iobis.org/mapper/?dataset=603,OBIS
Marine and Coastal Management - Copepod Surveys (AfrOBIS),Hans Verheye,NA,http://www.iobis.org/mapper/?dataset=125,OBIS
Seabird 2000 (EurOBIS),Ian Mitchell,Info at Birdwatch Ireland,http://www.iobis.org/mapper/?dataset=101,OBIS
Zooplankton Data from the Canadian Beaufort Sea Shelf. 1984 and 1985 NOGAP B2. Zooplankton Data from the Canadian Beaufort Sea Shelf. 1986. Central and Arctic Region,C Hopcroft,Cheryl Clarke-Hopcroft,http://www.iobis.org/mapper/?dataset=4428,Arctic Ocean Diversity Database
A comparison of benthic biodiversity in the North Sea. English Channel and Celtic Seas,H Rees,NA,http://www.iobis.org/mapper/?dataset=51,OBIS
MEDITS Seabird surveys 1999 - 2000 - 2002,Maite Louzao,Daniel Oro,https://globalchange.nasa.gov/KeywordSearch/Metadata.do?Portal=seamap&KeywordPath=&OrigMetadataNode=GCMD&EntryId=seamap334&MetadataView=Full&MetadataType=0&lbnode=mdlb3,OBIS
IOW Macrozoobenthos monitoring Baltic Sea (1980-2005) (EurOBIS),Michael Zettler,NA,http://www.iobis.org/mapper/?dataset=254,OBIS
CRRU Cetacean sighting in Scotland waters 1997-2010,Kevin Robinson,NA,http://www.iobis.org/mapper/?dataset=2354,OBIS
Phytoplankton of the Ukrainian Black Sea shelf (1985-2005),Natalya Derezuyk,Francisco Hernandez,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2694,EMODnet Bioloby
Phytoplankton in the Oosterschelde before. during and after the storm-surge barrier (1982-1990),Peter Herman,NA,http://www.iobis.org/mapper/?dataset=505,OBIS
Zooplankton in the Bay of Biscay (1995-2004. yearly DEPM surveys),Unai Cotano,Francisco Hernandez,http://bio.emodnet.eu/,EMODnet Bioloby
Baltic seabirds transect surveys,Gedas Vaitkus,NA,http://www.iobis.org/mapper/?dataset=2260,OBIS
Structure and function of contemporary food webs on Arctic shelves A panarctic comparison. The pelagic system of the Kara Sea- communities and components of carbon flow (ArcOD/AOOS),C Hopcroft,Cheryl Clarke-Hopcroft,http://www.iobis.org/mapper/?dataset=4396,OBIS
Archives of the Arctic Seas Zooplankton (ARC),Information Manager,NA,http://www.iobis.org/mapper/?dataset=4470,OBIS
"Zoobenthos data from the Southern Beaufort Sea, 1971-1975 - Wildco Petersen Grabs 1974-1975 only",C Hopcroft,Cheryl Clarke-Hopcroft,http://www.iobis.org/mapper/?dataset=4461,OBIS
Seabirds of the Southern and South Indian Ocean (Australian Antarctic Data Centre),Dave Watts,Eric Woehler,https://data.aad.gov.au/metadata/records/ASAC_2208_seabirds,https://data.aad.gov.au/metadata/records/ASAC_2208_seabirds
Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC (EurOBIS),Steve Wilkinson,Contact at CEH,http://www.iobis.org/mapper/?dataset=1987,OBIS
Southampton Oceanography Center Discovery Collections Midwater Database (collections from Discovery sailings - 1979 only year with furthest afield data),P Pugh,NA,http://www.iobis.org/mapper/?dataset=12,OBIS
South Western Pacific Regional OBIS Data Asteroid Subset (South Western Pacific OBIS),Steve Massey,Don Robertson,http://www.iobis.org/mapper/?dataset=219,OBIS
DFO Maritimes Research Vessel Trawl Surveys Fish Observations (OBIS Canada),Don Clark,NA,http://www.iobis.org/mapper/?dataset=237,OBIS
CRED REA Algal Quadrate Images in the Pacific Ocean 2002-2008 (OBIS-USA),Coral Ecologist Team Lead (NOAA),NA,http://www.iobis.org/mapper/?dataset=1577,OBIS
