plot,group,x_variable,measure,title,author,journal
001_Sandstrometal_BiologicalInvasions_2014_Fig2A.jpg,1,Year,CPUE,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions
002_Sandstrometal_BiologicalInvasions_2014_Fig2B.jpg,1,Year,CPUE,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions
003_Sandstrometal_BiologicalInvasions_2014_Fig2C.jpg,1,Year,CPUE,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions
004_Sandstrometal_BiologicalInvasions_2014_Fig2D.jpg,1,Year,CPUE,Population collapses in introduced non-indigenous crayfish,(Sandström et al. 2014),Biological Invasions
006_Hershbergeretal_BiologicalInvasions_2010_Fig1.jpg,1,Year,N,Amplification and transport of an endemic fish disease by an introduced species,(Hershberger et al. 2010),Biological Invasions
007_Fernandez_EuropeanJournalofPhycology_2020_Fig3.jpg,1,Year,Biomass,Boom-bust of Sargassum muticum in northern Spain: 30 years of invasion,(Fernández 2020),EUROPEAN JOURNAL OF PHYCOLOGY
008_Gorman_JournalofGreatLakesResearch_2007_Fig2density.jpg,1,Year,Density,"Changes in a population of exotic rainbow smelt in lake superior boom to bust, 1974-2005",(Gorman 2007),Journal of Great Lakes Research
009_Gorman_JournalofGreatLakesResearch_2007_Fig2biomass.jpg,1,Year,Biomass,"Changes in a population of exotic rainbow smelt in lake superior boom to bust, 1974-2005",(Gorman 2007),Journal of Great Lakes Research
010_Eagle-Smithetal_EcologicalApplications_2008_Fig2A.jpg,1,Year,Density,Changes in fish diets and food web mercury bioaccumulation induced by an invasive planktivorous fish,(Eagles-Smith et al. 2008),Ecological Applications
011_Eagle-Smithetal_EcologicalApplications_2008_Fig2B.jpg,1,Year,Density,Changes in fish diets and food web mercury bioaccumulation induced by an invasive planktivorous fish,(Eagles-Smith et al. 2008),Ecological Applications
012_Eagle-Smithetal_EcologicalApplications_2008_Fig2C.jpg,1,Year,Density,Changes in fish diets and food web mercury bioaccumulation induced by an invasive planktivorous fish,(Eagles-Smith et al. 2008),Ecological Applications
013_Eagle-Smithetal_EcologicalApplications_2008_Fig2D.jpg,1,Year,Density,Changes in fish diets and food web mercury bioaccumulation induced by an invasive planktivorous fish,(Eagles-Smith et al. 2008),Ecological Applications
014_Eagle-Smithetal_EcologicalApplications_2008_Fig2E.jpg,1,Year,Density,Changes in fish diets and food web mercury bioaccumulation induced by an invasive planktivorous fish,(Eagles-Smith et al. 2008),Ecological Applications
015_Sandlundetal_PLoSONE_2013_Fig2A.jpg,1,Year,CPUE,"Contrasting Population and Life History Responses of a Young Morph-Pair of European Whitefish to the Invsion of a Specialised Coregonid Competitor, Vendace",(Sandlund et al. 2013),Plos One
016_Boggsetal_JournalofAnimalEcology_2006_Fig4A.jpg,1,Year,N,Delayed Population Explosion of an introduced butterfly,(Boggs et al. 2006),Journal of Animal Ecology
017_Witteetal_BiologicalInvasions_2010_Fig5.jpg,1,Year,Density,Does climatic warming explain why an introduced barnacle finally takes over after a lag of more than 50 years?,(Witte et al. 2010),Biolgogical Invasions
018_Kaeufferetal_Ecography_2010_Fig1.jpg,1,Year,N,Dynamics of an introduced population of mouflon Ovis aries on the sub-antartic archipelago of Kerguelen,(Kaeuffer et al. 2009),Ecography
036_Gustaveson&Blommer_AmerFishSocSymp_2013_Fig2.jpg,1,Year,CPUE,History of Striped Bass Management in the Colorado River,(Gustaveson & Blommer 2013),BIOLOGY AND MANAGEMENT OF INLAND STRIPED BASS AND HYBRID STRIPED BASS
037_Bilio&Niermann_MarineEcologyProgressSeries_2004_Fig1.jpg,1,Year,Biomass,Is the comb jelly really to blame for it all? Mnemiopsis leidyi and the ecological concerns about the Caspian Sea,(Bilio & Niermann 2004),Marine Ecology Progress Series
038_Strayer&Malcom_FreshwaterBiology_2006_Fig2.jpg,1,Mon-Year,N,Long-term demography of a zebra mussel (Dreissena polymorpha) populations,(Strayer & Malcom 2006),Freshwater Biology
041_Blochetal_NortheasternNaturalist_2019_Fig1.jpg,1,Year,Density,"Population Decline of the Invasive Asian Shore Crab (Hemigrapsus sanguineus) and Dynamics of Associated Intertidal Invertebrates on Cape Cod, Massachusetts",(Bloch et al. 2019),NORTHEASTERN NATURALIST
042_Mooreetal_BiologicalInvasions_2012_Fig1A.jpg,1,Year,Density,Stream community and ecosystem responses to the boom and bust of an invading snail,(Moore et al. 2012),Biological Invasions
046_Kormanetal_TransactionsoftheAmericanFisheriesSociety_2017_Fig2.jpg,1,Year,CPUE,"Trends in Rainbow Trout Recruitment, Abundance, Survival, and Growth during a Boom-and-Bust Cycle in a Tailwater Fishery",(Korman et al. 2017),TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY
047_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.1.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
048_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.2.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
049_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.3.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
050_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.4.jpg,1,Time (yrs),CPUE,Severe and rapid population declines in exotic birds,(Aagaard & Lockwood 2016),Biological Invasions
