group,x_variable,measure,plot,species.names
1,Year,N,"Paragamian, V. L., R. C. P. Beamesderfer, et al. (2005). ""Status, Population Dynamics, and Future Prospects of the Endangered Kootenai River White Sturgeon Population with and without Hatchery Intervention."" Transactions of the American Fisheries Society 134(2): 518-532._1",Acipenser transmontanus
1,Year,Abundance,"NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,._5",Alosa pseudoharengus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._1",Alosa pseudoharengus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._2",Alosa pseudoharengus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._3",Alosa sapidissima
1,Year,Abundance,"NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,._6",Alosa sapidissima
1,Year,Abundance,"US Fish and Wildlife Service (2006). ""Historic Data Anadromous Fish Returns Merrimack River."" from http://www.fws.gov/r5cneafp/returns.htm.| US Fish and Wildlife Service. 2019. Anadromous Fish Returns - Merrimack River. https://www.fws.gov/northeast/cnefro/returns.html._1",Alosa sapidissima
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._6",Coregonus clupeaformis
1,Year,Density,"Madenjian, C. P., D. B. Bunnell, et al. (2006). Status and trends of prey fish in Lake Michigan, 2005. Ontario, Lake Michigan Committee, USGS._1",Coregonus hoyi
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._9",Oncorhynchus gorbuscha
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._10",Oncorhynchus gorbuscha
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._11",Oncorhynchus gorbuscha
1,Year,N,"Good, T. P., R. S. Waples, et al. (2005). Updated status of federally listed ESUs of West Coast salmon and steelhead. NOAA Tech. Memo. NMFS-NWFSC-66. U. S. D. Commer.: 598 p._1",Oncorhynchus keta
1,Year,Abundance,"Yukon Department of Environment (2004). Fish and Wildlife: Salmon. Yukon State of the Environment Report 2002. Y. D. o. Environment. Yukon, Canada., Yukon Government.: 61._1",Oncorhynchus keta
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._12",Oncorhynchus kisutch
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._13",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._14",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._15",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._16",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._17",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._18",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._19",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._20",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._21",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._22",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._23",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._24",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._25",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._26",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._27",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._28",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._29",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._30",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._31",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._32",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._33",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._34",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._35",Oncorhynchus nerka
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._36",Oncorhynchus nerka
1,Year,Abundance,"Botsford, L. W. and J. G. Brittnacher (1998). ""Viability of Sacramento river winter-run Chinook salmon."" Conservation Biology 12(1): 65-79._1",Oncorhynchus tshawytscha
1,Year,Abundance,"Waples, R. S., Robert P. Jones Jr, et al. (1991). Status review for Snake river fall Chinook salmon. NOAA Technical Memorandum NMFS F/NWC-201, U.S. Department of Commerce: 80 pp._1",Oncorhynchus tshawytscha
1,Year,Abundance,"Matthews, G. M. and R. S. Waples (1991). Status review for Snake river spring and summer Chinook salmon. NOAA Technical Memorandum NMFS F/NWC-200, U.S. Department of Commerce: 83 pp._1",Oncorhynchus tshawytscha
1,Year,Abundance,"Good, T. P., R. S. Waples, et al. (2005). Updated status of federally listed ESUs of West Coast salmon and steelhead. NOAA Tech. Memo. NMFS-NWFSC-66. U. S. D. Commer.: 598 p._2",Oncorhynchus tshawytscha
1,Year,CPUE,"Myers, R. Ransom Myers' Stock Recruitment Database._37",Perca flavescens
1,Year,Abundance,"US Fish and Wildlife Service (2006). ""Historic Data Anadromous Fish Returns Merrimack River."" from http://www.fws.gov/r5cneafp/returns.htm.| US Fish and Wildlife Service. 2019. Anadromous Fish Returns - Merrimack River. https://www.fws.gov/northeast/cnefro/returns.html._2",Salmo salar
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._40",Salmo salar
1,Year,Abundance,"Rieman, B. E. and D. L. Myers (1997). ""Use of Redd Counts to Detect Trends in Bull Trout (Salvelinus confluentus) Populations."" Conservation Biology 11(4): 1015-1018._1",Salvelinus confluentus
1,Year,Abundance,"Rieman, B. E. and D. L. Myers (1997). ""Use of Redd Counts to Detect Trends in Bull Trout (Salvelinus confluentus) Populations."" Conservation Biology 11(4): 1015-1018._2",Salvelinus confluentus
1,Year,Abundance,"Rieman, B. E. and D. L. Myers (1997). ""Use of Redd Counts to Detect Trends in Bull Trout (Salvelinus confluentus) Populations."" Conservation Biology 11(4): 1015-1018._3",Salvelinus confluentus
1,Year,CPUE,"Myers, R. Ransom Myers' Stock Recruitment Database._41",Salvelinus namaycush
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._42",Sander vitreus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._43",Sander vitreus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._45",Sander vitreus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._46",Sander vitreus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._47",Sander vitreus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._48",Sander vitreus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._49",Sander vitreus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._50",Sander vitreus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._51",Sander vitreus
1,Year,Density,"Myers, R. Ransom Myers' Stock Recruitment Database._52",Sander vitreus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._53",Sander vitreus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._54",Sander vitreus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._55",Sander vitreus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._57",Coregonus lavaretus
1,Year,Abundance,"NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,._17",Coregonus lavaretus
1,Year,Density,"Myers, R. Ransom Myers' Stock Recruitment Database._60",Perca fluviatilis
1,Year,Density,"Myers, R. Ransom Myers' Stock Recruitment Database._63",Sander lucioperca
1,Year,Abundance,"International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| Arnott, S. A., G. D. Ruxton, et al. (2002). ""Stochastic dynamic population model of North Sea sandeels, and its application to precautionary management procedures."" Marine Ecology Progress Series 235: 223-234._1",Ammodytes marinus
1,Year,CPUE,"Heessen, H. J. L. (1996). ""Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey."" ICES Journal of Marine Science 53: 1079-1084._1",Anarhichas lupus
1,Year,CPUE,"Heessen, H. J. L. (1996). ""Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey."" ICES Journal of Marine Science 53: 1079-1084._2",Argentina silus
1,Year,CPUE,"Heessen, H. J. L. (1996). ""Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey."" ICES Journal of Marine Science 53: 1079-1084._3",Arnoglossus laterna
1,Year,CPUE,"Heessen, H. J. L. (1996). ""Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey."" ICES Journal of Marine Science 53: 1079-1084._4",Chelidonichthys cuculus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._69",Brevoortia tyrannus
1,Year,CPUE,"Heessen, H. J. L. (1996). ""Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey."" ICES Journal of Marine Science 53: 1079-1084._5",Buglossidium luteum
1,Year,CPUE,"Heessen, H. J. L. (1996). ""Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey."" ICES Journal of Marine Science 53: 1079-1084._6",Callionymus maculatus
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._2",Brevoortia tyrannus
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._3",Brevoortia tyrannus
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._4",Brevoortia tyrannus
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._6",Brevoortia tyrannus
1,Year,Abundance,DFO (2000). Southern Gulf of St. Lawrence herring. DFO Science Stock Status report B3-01(2000)._1,Brevoortia tyrannus
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._7",Brevoortia tyrannus
1,Year,Abundance,"Myers, R. Ransom Myers' Stock Recruitment Database._88",Engraulis encrasicolus
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._1,Gadus morhua
1,Year,Abundance,RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192._2,Gadus morhua
1,Year,Abundance,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010._10",Gadus morhua
