ID,Year,Date,Season,River,Creek,Bout,Distance,DOMGL,Salinity,TempC,Catch,CPUE,n
10TRANSRB81,10,2014-03-22,TRANS,RB,8,1,100,3.02,0.4,22.9,61,61,2
10TRANSRB83,10,2014-03-22,TRANS,RB,8,3,100,4.23,0.4,23.4,49,49,2
10TRANSRB91,10,2014-03-23,TRANS,RB,9,1,86,2.49,0.4,23.4,116,135,2
10TRANSRB92,10,2014-03-23,TRANS,RB,9,2,67,2.56,0.4,23.5,176,262,4
10TRANSRB93,10,2014-03-23,TRANS,RB,9,3,68,2.92,0.4,23.6,127,187,3
10TRANSTB21,10,2013-12-02,TRANS,TB,2,1,90,4.5,0.9,22.8,54,60,3
10TRANSTB21,10,2014-03-24,TRANS,TB,2,1,98,4.58,5.8,27,54,55,2
10TRANSTB22,10,2013-12-02,TRANS,TB,2,2,80,5.58,0.9,23,73,91,2
10TRANSTB23,10,2013-12-02,TRANS,TB,2,3,73,5.95,0.9,23.3,79,108,3
10TRANSTB23,10,2014-03-24,TRANS,TB,2,3,95,5.05,5.9,26.5,79,83,2
10WETRB141,10,2013-12-20,WET,RB,14,1,130,4.77,0.4,20.1,5,4,2
11EARLYDRYRB101,11,2015-03-03,EARLYDRY,RB,10,1,80,2.55,0.5,22.8,59,74,4
11EARLYDRYRB102,11,2015-03-03,EARLYDRY,RB,10,2,55,2.7,0.5,23.4,191,347,4
11EARLYDRYRB103,11,2015-03-03,EARLYDRY,RB,10,3,64,3.18,0.5,23.7,144,225,4
11EARLYDRYRB111,11,2015-03-08,EARLYDRY,RB,11,1,45,2.67,0.4,23.5,64,142,4
11EARLYDRYRB112,11,2015-03-08,EARLYDRY,RB,11,2,60,3.5,0.4,23.6,86,143,3
11EARLYDRYRB113,11,2015-03-08,EARLYDRY,RB,11,3,50,3.06,0.4,23,129,258,3
11EARLYDRYRB121,11,2015-03-02,EARLYDRY,RB,12,1,70,0.43,1.1,23.5,26,37,3
11EARLYDRYRB123,11,2015-03-02,EARLYDRY,RB,12,3,86,0.43,0.8,23.4,20,23,3
11EARLYDRYRB131,11,2015-03-05,EARLYDRY,RB,13,1,69,4.1,0.6,25.1,55,80,3
11EARLYDRYRB132,11,2015-03-05,EARLYDRY,RB,13,2,117,5.38,0.6,25.1,65,56,2
11EARLYDRYRB133,11,2015-03-05,EARLYDRY,RB,13,3,93,5.2,0.6,25.1,22,24,2
11EARLYDRYRB141,11,2015-03-08,EARLYDRY,RB,14,1,90,0.35,1.4,24.2,11,12,2
11EARLYDRYRB143,11,2015-03-08,EARLYDRY,RB,14,3,98,0.28,1.3,24.3,6,6,2
11EARLYDRYRB163,11,2015-03-02,EARLYDRY,RB,16,3,109,0.24,2.7,23.1,19,17,2
11EARLYDRYRB181,11,2015-03-08,EARLYDRY,RB,18,1,95,5.71,0.9,25.3,55,58,2
11EARLYDRYRB182,11,2015-03-08,EARLYDRY,RB,18,2,90,5.86,0.8,25.3,40,44,2
11EARLYDRYRB183,11,2015-03-08,EARLYDRY,RB,18,3,60,5.69,0.7,24.8,32,53,2
11EARLYDRYRB71,11,2015-03-02,EARLYDRY,RB,7,1,117,2.1,1.5,23.4,15,13,2
