Class,Order,Family,Genus
Bivalvia,Ostreida,Pinnidae,Atrina
Gastropoda,Littorinimorpha,Cymatiidae,Fusitriton
Cephalopoda,Oegopsida,Onychoteuthidae,Moroteuthopsis
Bivalvia,Pectinida,Pectinidae,Pecten
Bivalvia,Mytilida,Mytilidae,Perna
Cephalopoda,Myopsida,Loliginidae,Sepioteuthis
Cephalopoda,Spirulida,Spirulidae,Spirula
Bivalvia,Ostreida,Ostreidae,Ostrea
Gastropoda,Littorinimorpha,Carinariidae,Cardiapoda
Cephalopoda,Octopoda,Enteroctopodidae,Enteroctopus
Cephalopoda,Octopoda,Alloposidae,Haliphron
Bivalvia,Venerida,Mactridae,Spisula
Bivalvia,Mytilida,Mytilidae,Musculus
Cephalopoda,Oegopsida,Onychoteuthidae,Onykia
Gastropoda,Neogastropoda,Volutidae,Provocator
Gastropoda,Lepetellida,Fissurellidae,Scutus
Cephalopoda,Oegopsida,Octopoteuthidae,Taningia
Cephalopoda,Oegopsida,Cranchiidae,Bathothauma
Cephalopoda,Oegopsida,Brachioteuthidae,Brachioteuthis
Cephalopoda,Oegopsida,Cranchiidae,Cranchia
Cephalopoda,Oegopsida,Enoploteuthidae,Enoploteuthis
Cephalopoda,Sepiolida,Sepiolidae,Euprymna
Cephalopoda,Oegopsida,Cranchiidae,Helicocranchia
Cephalopoda,Sepiolida,Sepiolidae,Heteroteuthis
Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis
Cephalopoda,Oegopsida,Cranchiidae,Leachia
Cephalopoda,Oegopsida,Cranchiidae,Liocranchia
Cephalopoda,Oegopsida,Lycoteuthidae,Lycoteuthis
Cephalopoda,Oegopsida,Mastigoteuthidae,Mastigopsis
Cephalopoda,Oegopsida,Cranchiidae,Megalocranchia
Cephalopoda,Oegopsida,Cranchiidae,Teuthowenia
Cephalopoda,Oegopsida,Ommastrephidae,Nototodarus
Cephalopoda,Octopoda,Ocythoidae,Ocythoe
Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis
Cephalopoda,Oegopsida,Pyroteuthidae,Pterygioteuthis
Cephalopoda,Oegopsida,Pyroteuthidae,Pyroteuthis
Cephalopoda,Oegopsida,Cranchiidae,Sandalops
Cephalopoda,Oegopsida,Cranchiidae,Taonius
Cephalopoda,Oegopsida,Ommastrephidae,Todarodes
Cephalopoda,Octopoda,Tremoctopodidae,Tremoctopus
Cephalopoda,Myopsida,Loliginidae,Doryteuthis
Bivalvia,Carditida,Astartidae,Astarte
Bivalvia,Carditida,Carditidae,Cyclocardia
Bivalvia,Mytilida,Modiolidae,Modiolus
Bivalvia,Mytilida,Mytilidae,Mytilus
Bivalvia,Venerida,Veneridae,Agriopoma
Bivalvia,Pectinida,Pectinidae,Placopecten
Bivalvia,Venerida,Arcticidae,Arctica
Gastropoda,Neogastropoda,Buccinidae,Buccinum
Bivalvia,Pectinida,Pectinidae,Chlamys
Bivalvia,Venerida,Veneridae,Mercenaria
Gastropoda,Neogastropoda,Buccinidae,Neptunea
Gastropoda,Littorinimorpha,Naticidae,Euspira
Cephalopoda,Oegopsida,Ommastrephidae,Illex
Bivalvia,Nuculida,Nuculidae,Acila
Cephalopoda,Octopoda,Enteroctopodidae,Muusoctopus
Cephalopoda,Oegopsida,Gonatidae,Berryteuthis
Bivalvia,Venerida,Veneridae,Compsomyax
Bivalvia,Lucinida,Thyasiridae,Conchocele
Bivalvia,NA,Lyonsiidae,Entodesma
Gastropoda,Littorinimorpha,Naticidae,Neverita
Cephalopoda,Oegopsida,Gonatidae,Gonatus
