species.names
Dreissena polymorpha
Potamopyrgus antipodarum
Macoma balthica
Hydrobia spp.
Crassostrea gigas
Agnewia tritoniformis
Aphelodoris varia
Astralium tentoriiformis
Astralium tentorium
Bullina lineata
Cabestana spengleri
Campanile symbolicum
Ceratosoma amoenum
Ceratosoma brevicaudatum
Chromodoris westraliensis
Coryphellina rubrolineata
Cronia aurantiaca
Dendrodoris krusensternii
Dicathais orbita
Doriprismatica atromarginata
Doris chrysoderma
Goniobranchus daphne
Goniobranchus splendidus
Hypselodoris bennetti
Lunella torquata
Monoplex parthenopeus
Octopus tetricus
Phyllidiella pustulosa
Phyllodesmium serratum
Polycera capensis
Pteraeolidia ianthina
Ranella australasia
Sepia apama
Sepia plangon
Turbo haraldi
Turbo imperialis
Turbo jourdani
Elimia livescens
Musculium transversum
Pseudosuccinea columella
Sphaerium striatinum
Rochia nilotica
Turbo marmoratus
Ancylus fluviatilis
Cardiapoda richardi
Moroteuthopsis ingens
Onykia robsoni
Pecten novaezelandiae
Sepioteuthis australis
Acanthochitona crinita
Alvania punctura
Amphorina farrani
Amphorina pallida
Antiopella cristata
Aporrhais pespelecani
Arctica islandica
Asbjornsenia pygmaea
Astarte elliptica
Barleeia unifasciata
Bittium reticulatum
Boreochiton ruber
Brachystomia eulimoides
Brachystomia scalaris
Buccinum undatum
Caecum glabrum
Callochiton septemvalvis
Calyptraea chinensis
Capulus ungaricus
Carronella pellucida
Cerastoderma glaucum
Cerithiopsis tubercularis
Chaetoderma nitidulum
Chamelea gallina
Chrysallida indistincta
Cingula trifasciata
Clelandella miliaris
Cochlodesma praetenue
Colus gracilis
Crenella decussata
Crepidula fornicata
Crimora papillata
Crisilla semistriata
Cuthonella concinna
Devonia perrieri
Diaphana minuta
Diaphorodoris luteocincta
Diodora graeca
Doris pseudoargus
Doto fragilis
Duvaucelia lineata
Duvaucelia plebeia
Edmundsella pedata
Emarginula fissura
Ennucula tenuis
Ensis magnus
Eubranchus vittatus
Euspira catena
Euspira nitida
Facelina auriculata
Idaliadoris depressa
Jorunna tomentosa
Kurtiella bidentata
Lacuna pallidula
Lacuna parva
Lasaea adansoni
Leptochiton asellus
Leptochiton cancellatus
Littorina fabalis
Littorina saxatilis
Macomangulus tenuis
Margarites helicinus
Marsenia perspicua
Melarhaphe neritoides
Mimachlamys varia
Modiolus modiolus
Musculus subpictus
Mya arenaria
Mya truncata
Myrtea spinifera
Neptunea antiqua
Nucella lapillus
Nucula nitidosa
Nucula nucleus
Nucula sulcata
Odostomia plicata
Omalogyra atomus
Onchidoris muricata
Onoba aculeus
Parvicardium scabrum
Parvicardium scriptum
Patella depressa
Patella pellucida
Patella ulyssiponensis
Patella vulgata
Petricolaria pholadiformis
Philine aperta
Phorcus lineatus
Pododesmus patelliformis
Polititapes rhomboides
Pusillina inconspicua
Pusillina sarsii
Rissoa lilacina
Rissoa membranacea
Rissoa parva
Rissoella diaphana
Rissoella globularis
Rissoella opalina
Rubramoena rubescens
Ruditapes decussatus
Scaphander lignarius
Skeneopsis planorbis
Sphenia binghami
Stenosemus albus
Steromphala cineraria
Steromphala tumida
Steromphala umbilicalis
Talochlamys pusio
Tectura virginea
Testudinalia testudinalis
Thecacera pennigera
Tricolia pullus
Trinchesia foliata
Tritia incrassata
Tritia pygmaea
Tritia reticulata
Tritonia hombergii
Trivia arctica
Turritellinella tricarinata
Varicorbula gibba
Venerupis corrugata
Venus casina
Thylacodes squamigerus
Abra aequalis
Acanthochitona pygmaea
Aclis hendersoni
Acteocina canaliculata
Acteocina lepta
Agriopoma morrhuanum
Alvania auberiana
Ameritella agilis
Ameritella mitchelli
Ameritella sybaritica
Ameritella versicolor
Anadara transversa
Anomalocardia puella
Anomia simplex
Antalis antillarum
Aplexa hypnorum
Arcuatula papyria
Arene tricarinata
Armiger crista
Astarte undata
Asthenothaerus hemphilli
Astyris lunata
Bittiolum varium
Boonea bisuturalis
Boonea impressa
Boonea seminuda
Brachidontes exustus
Bulla striata
Caecum floridanum
Caecum imbricatum
Caecum johnsoni
Caecum pulchellum
Calyptraea centralis
Cardites floridanus
Caryocorbula contracta
Chione cancellata
Chioneryx grus
Corambe obscura
Corbicula fluminea
Costoanachis avara
Cotonopsis lafresnayi
Crassinella lunulata
Crassinella martinicensis
Crassostrea virginica
Crenella divaricata
Crepidula convexa
Crepidula maculosa
Crepidula plana
Cumingia sinuosa
Cyclocardia borealis
Cylichnella bidentata
Cylindrobulla beauii
Dentimargo aureocincta
Diplodonta punctata
Dosinia discus
Ennucula aegeensis
Ensis directus
Ensis minor
Ervilia nitens
Eulima bilineata
Eulimastoma engonium
Eulimastoma weberi
Eupleura caudata
Eurytellina alternata
Fargoa gibbosa
Fulvia laevigata
Gemma gemma
Geukensia demissa
Gibberula lavalleeana
Gouldia cerina
Granulina ovuliformis
Gyraulus circumstriatus
Gyraulus parvus
Gyroscala rupicola
Haliotis kamtschatkana
Haminella solitaria
Haminoea succinea
Hiatella arctica
Hinkleyia caperata
Ilyanassa obsoleta
Ilyanassa trivittata
Ischadium recurvum
Japonactaeon punctostriatus
Kelliopsis elevata
Kelliopsis texasiana
Kurtiella planulata
Kurtziella cerina
Ladislavella elodes
Laevicardium mortoni
Lamychaena hians
Limaria pellucida
Lioberus castanea
Longchaeus suturalis
Lucina radians
Lunarca ovalis
Lymnaea stagnalis
Lyonsia hyalina
Macoploma tenta
Meioceras nitidum
Mercenaria mercenaria
Mulinia lateralis
Musculus lateralis
Mytilopsis leucophaeata
Mytilus edulis
Nassarius acutus
Neoterebra dislocata
Neverita duplicata
Nucula proxima
Nuculana acuta
Nuculana concentrica
Olivella mica
Oudardia iris
Pandora gouldiana
Pandora trilineata
Paradentalium americanum
Parvanachis obesa
Parvicardium pinnulatum
Parvilucina crenella
Periploma margaritaceum
