species.names,col_name,classification,domain,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,order,superfamily,family,subfamily,genus,family_lower
Dreissena polymorpha,Dreissena polymorpha,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,Dreissenoidea,Dreissenidae,Dreisseninae,Dreissena,Dreissenidae
Potamopyrgus antipodarum,Potamopyrgus antipodarum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Tateidae,NA,Potamopyrgus,Tateidae
Macoma balthica,Macoma balthica,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Tellinidae,Macominae,Macoma,Tellinidae
Hydrobia spp.,Hydrobia,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Hydrobiidae,Hydrobiinae,NA,Hydrobiidae
Crassostrea gigas,Crassostrea gigas,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Ostreida,Ostreoidea,Ostreidae,Crassostreinae,Magallana,Ostreidae
Agnewia tritoniformis,Agnewia tritoniformis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Rapaninae,Agnewia,Muricidae
Aphelodoris varia,Aphelodoris varia,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Doridoidea,Discodorididae,NA,Aphelodoris,Discodorididae
Astralium tentoriiformis,Astralium tentoriiforme,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Astralium,Turbinidae
Astralium tentorium,Astralium tentorium,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Astralium,Turbinidae
Bullina lineata,Bullina lineata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Acteonimorpha,NA,NA,Acteonoidea,Aplustridae,NA,Bullina,Aplustridae
Cabestana spengleri,Cabestana spengleri,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Tonnoidea,Cymatiidae,NA,Cabestana,Cymatiidae
Campanile symbolicum,Campanile symbolicum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,NA,Campaniloidea,Campanilidae,NA,Campanile,Campanilidae
Ceratosoma amoenum,Ceratosoma amoenum,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Miamirinae,Ceratosoma,Chromodorididae
Ceratosoma brevicaudatum,Ceratosoma brevicaudatum,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Miamirinae,Ceratosoma,Chromodorididae
Chromodoris westraliensis,Chromodoris westraliensis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Chromodoridinae,Chromodoris,Chromodorididae
Coryphellina rubrolineata,Coryphellina rubrolineata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Fionoidea,Flabellinidae,NA,Coryphellina,Flabellinidae
Cronia aurantiaca,Cronia aurantiaca,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Ergalataxinae,Cronia,Muricidae
Dendrodoris krusensternii,Dendrodoris krusensternii,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Phyllidioidea,Dendrodorididae,NA,Dendrodoris,Dendrodorididae
Dicathais orbita,Dicathais orbita,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Rapaninae,Dicathais,Muricidae
Doriprismatica atromarginata,Doriprismatica atromarginata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Chromodoridinae,Doriprismatica,Chromodorididae
Doris chrysoderma,Doris chrysoderma,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Doridoidea,Dorididae,NA,Doris,Dorididae
Goniobranchus daphne,Goniobranchus daphne,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Chromodoridinae,Goniobranchus,Chromodorididae
Goniobranchus splendidus,Goniobranchus splendidus,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Chromodoridinae,Goniobranchus,Chromodorididae
Hypselodoris bennetti,Hypselodoris bennetti,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Miamirinae,Hypselodoris,Chromodorididae
Lunella torquata,Lunella torquata,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Lunella,Turbinidae
Monoplex parthenopeus,Monoplex parthenopeus,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Tonnoidea,Cymatiidae,NA,Monoplex,Cymatiidae
Octopus tetricus,Octopus tetricus,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Octopodiformes,NA,NA,Octopodidae,NA,Octopus,Octopodidae
Phyllidiella pustulosa,Phyllidiella pustulosa,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Phyllidioidea,Phyllidiidae,NA,Phyllidiella,Phyllidiidae
Phyllodesmium serratum,Phyllodesmium serratum,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Aeolidioidea,Myrrhinidae,NA,Phyllodesmium,Myrrhinidae
Polycera capensis,Polycera capensis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Polyceroidea,Polyceridae,Polycerinae,Polycera,Polyceridae
Pteraeolidia ianthina,Pteraeolidia ianthina,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Aeolidioidea,Facelinidae,Pteraeolidiinae,Pteraeolidia,Facelinidae
Ranella australasia,Ranella australasia,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Tonnoidea,Ranellidae,NA,Ranella,Ranellidae
Sepia apama,Sepia apama,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Sepiida,Sepioidea,Sepiidae,NA,Ascarosepion,Sepiidae
Sepia plangon,Sepia plangon,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Sepiida,Sepioidea,Sepiidae,NA,Ascarosepion,Sepiidae
Turbo haraldi,Turbo haraldi,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Turbo,Turbinidae
Turbo imperialis,Turbo imperialis,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Turbo,Turbinidae
Turbo jourdani,Turbo jourdani,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Turbo,Turbinidae
Elimia livescens,Elimia livescens,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,NA,Cerithioidea,Pleuroceridae,NA,Elimia,Pleuroceridae
Musculium transversum,Musculium transversum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,NA,Sphaeriidae,NA,Sphaerium,Sphaeriidae
