species.names,col_name,classification,domain,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,order,superfamily,family,subfamily,genus,family_lower,longevity.yrs,notes
Acanthochitona crinita,Acanthochitona crinita,,Eukaryota,Animalia,Mollusca,Polyplacophora,Neoloricata,NA,NA,NA,Chitonida,Cryptoplacoidea,Acanthochitonidae,Acanthochitoninae,Acanthochitona,Acanthochitonidae,,
Acanthochitona pygmaea,Acanthochitona pygmaea,,Eukaryota,Animalia,Mollusca,Polyplacophora,Neoloricata,NA,NA,NA,Chitonida,Cryptoplacoidea,Acanthochitonidae,Acanthochitoninae,Acanthochitona,Acanthochitonidae,,
Stenogyra terebraster,Stenogyra terebraster,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,Achatinoidea,Achatinidae,Stenogyrinae,Stenogyra,Achatinidae,8,
Acroloxus lacustris,Acroloxus lacustris,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Acroloxidae,NA,Acroloxus,Acroloxidae,1,
Japonactaeon punctostriatus,Japonactaeon punctostriatus,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Acteonimorpha,NA,NA,Acteonoidea,Acteonidae,NA,Japonactaeon,Acteonidae,2,SL-Heller 1990
Gaeotis nigrolineata,Gaeotis nigrolineata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,NA,Amphibulimidae,NA,Gaeotis,Amphibulimidae,,not found
Anomia simplex,Anomia simplex,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Pectinida,Anomioidea,Anomiidae,NA,Anomia,Anomiidae,2,
Heteranomia squamula,Heteranomia squamula,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Pectinida,Anomioidea,Anomiidae,NA,Heteranomia,Anomiidae,2,
Pododesmus patelliformis,Pododesmus patelliformis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Pectinida,Anomioidea,Anomiidae,NA,Pododesmus,Anomiidae,2,SL-Heller 1990
Bullina lineata,Bullina lineata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Acteonimorpha,NA,NA,Acteonoidea,Aplustridae,NA,Bullina,Aplustridae,2,
Aplysia californica,Aplysia californica,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,Aplysiida,Aplysioidea,Aplysiidae,Aplysiinae,Aplysia,Aplysiidae,1.139726,
Aporrhais pespelecani,Aporrhais pespelecani,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Stromboidea,Aporrhaidae,NA,Aporrhais,Aporrhaidae,,not found
Arrhoges occidentalis,Arrhoges occidentalis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Stromboidea,Aporrhaidae,NA,Arrhoges,Aporrhaidae,,not found
Anadara transversa,Anadara transversa,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Arcida,Arcoidea,Arcidae,NA,Anadara,Arcidae,9.8888889,
Bathyarca pectunculoides,Bathyarca pectunculoides,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Arcida,Arcoidea,Arcidae,NA,Bathyarca,Arcidae,9.25963,
Lunarca ovalis,Lunarca ovalis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Arcida,Arcoidea,Arcidae,NA,Lunarca,Arcidae,3,
Arctica islandica,Arctica islandica,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,NA,Arctica,Arcticidae,507,not found
Arene tricarinata,Arene tricarinata,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Areneidae,NA,Marevalvata,Areneidae,,not found
Astarte elliptica,Astarte elliptica,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,Crassatelloidea,Astartidae,NA,Tridonta,Astartidae,20,
Astarte quadrans,Astarte quadrans,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,Crassatelloidea,Astartidae,Astartinae,Astarte,Astartidae,8.9,
Astarte undata,Astarte undata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,Crassatelloidea,Astartidae,Astartinae,Astarte,Astartidae,8.9,Asymptotic age of growth
Kelletia kelletii,Kelletia kelletii,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Austrosiphonidae,NA,Kelletia,Austrosiphonidae,40,
Barleeia unifasciata,Barleeia unifasciata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Barleeiidae,NA,Barleeia,Barleeiidae,2,
Bithynia leachii,Bithynia leachii,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Bithyniidae,Bithyniinae,Bithynia,Bithyniidae,2,
Buccinum undatum,Buccinum undatum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Buccinidae,Buccininae,Buccinum,Buccinidae,10,
Neptunea antiqua,Neptunea antiqua,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Buccinidae,Neptuneinae,Neptunea,Buccinidae,10,
Neptunea decemcostata,Neptunea decemcostata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Buccinidae,Neptuneinae,Neptunea,Buccinidae,10,
Bulla striata,Bulla striata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,NA,Bulloidea,Bullidae,NA,Bulla,Bullidae,,not found
Caecum floridanum,Caecum floridanum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Caecidae,Caecinae,Caecum,Caecidae,2,SL-Heller 1990
Caecum glabrum,Caecum glabrum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Caecidae,Caecinae,Caecum,Caecidae,2,SL-Heller 1990
Caecum imbricatum,Caecum imbricatum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Caecidae,Caecinae,Caecum,Caecidae,2,SL-Heller 1990
Caecum johnsoni,Caecum johnsoni,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Caecidae,Caecinae,Caecum,Caecidae,2,SL-Heller 1990
Caecum pulchellum,Caecum pulchellum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Caecidae,Caecinae,Caecum,Caecidae,2,SL-Heller 1990
Meioceras nitidum,Meioceras nitidum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Caecidae,Caecinae,Meioceras,Caecidae,2,SL-Heller 1990
Callochiton septemvalvis,Callochiton septemvalvis,,Eukaryota,Animalia,Mollusca,Polyplacophora,Neoloricata,NA,NA,NA,Callochitonida,NA,Callochitonidae,NA,Callochiton,Callochitonidae,,
Diaphorodoris luteocincta,Diaphorodoris luteocincta,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,NA,Calycidorididae,NA,Diaphorodoris,Calycidorididae,1.33333,
Calyptraea centralis,Calyptraea centralis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Calyptraeoidea,Calyptraeidae,NA,Calyptraea,Calyptraeidae,5,
Calyptraea chinensis,Calyptraea chinensis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Calyptraeoidea,Calyptraeidae,NA,Calyptraea,Calyptraeidae,5,
Crepidula convexa,Crepidula convexa,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Calyptraeoidea,Calyptraeidae,NA,Crepidula,Calyptraeidae,5,
Crepidula fornicata,Crepidula fornicata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Calyptraeoidea,Calyptraeidae,NA,Crepidula,Calyptraeidae,5,
Crepidula maculosa,Crepidula maculosa,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Calyptraeoidea,Calyptraeidae,NA,Crepidula,Calyptraeidae,5,
Crepidula plana,Crepidula plana,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Calyptraeoidea,Calyptraeidae,NA,Crepidula,Calyptraeidae,5,
Campanile symbolicum,Campanile symbolicum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,NA,Campaniloidea,Campanilidae,NA,Campanile,Campanilidae,,not found
