gpd.fuzzy.title,bioTIME.fuzzy.title,jw_dist,boombust.fuzzy.title
stability in a multi species assemblage of large herbivores in east africa,stability in a multi species assemblage of large herbivores in east africa,0,NA
the composition and dynamics of the passerine bird community in a subalpine birch forest swedish lapland a 20 year study,the composition and dynamics of the passerine bird community in a subalpine birch forest swedish lapland a 20 year study,0,NA
bird community dynamics in a temperate deciduous forest long term trends at hubbard brook,bird community dynamics in a temperate deciduous forest long term trends at hubbard brook,0,NA
an 11 year study of small mammal populations at mont st hilaire quebec,an 11 year study of small mammal populations at mont st hilaire quebec,0,NA
long term dynamics of small mammal populations in ontario,long term dynamics of small mammal populations in ontario,0,NA
a transect survey of small land carnivore and red fox populations on a subarctic fell in finnish forest lapland over 13 winters,a transect survey of small land carnivore and red fox populations on a subarctic fell in finnish forest lapland over 13 winters,0,NA
changes in breeding bird populations of an oak wood on bookham common surrey over twenty seven years,changes in breeding bird populations of an oak wood on bookham common surrey over twenty seven years,0,NA
the composition and dynamics of the passerine bird community in a subalpine birch forest swedish lapland a 20 year study,the composition and dynamics of the passerine bird community in a subalpine birch forest swedish lapland a 20 year study,0,NA
fluctuations in abundance of large herbivore populations insights into the influence of dry season rainfall and elephant numbers from long term data,fluctuations in abundance of large herbivore populations insights into the influence of dry season rainfall and elephant numbers from long term data,0,NA
long term decline of a winter resident bird community in puerto rico,long term decline of a winter resident bird community in puerto rico,0,NA
the response of anolis lizards to hurricane induced habitat changes in a puerto rican rain forest,the response of anolis lizards to hurricane induced habitat changes in a puerto rican rain forest,0,NA
bird populations in east central illinois fluctuations variation and development over half a century,bird populations in east central illinois fluctuations variations and development over a half century,0.01330033003300346,NA
bird populations in east central illinois fluctuations variation and development over half a century,bird populations in east central illinois fluctuations variations and development over a half century,0.01330033003300346,NA
bird populations in east central illinois fluctuations variation and development over half a century,bird populations in east central illinois fluctuations variations and development over a half century,0.01330033003300346,NA
nest population size and potential production of geese and spectacled eiders on the yukon kuskokwim delta alaska 2009 u s f a w service,nest population size and potential production of geese and spectacled eiders on the yukon kuskokwim delta alaska 1985 2013,0.06380365232824248,NA
dfo maritimes research vessel trawl surveys fish observations saint andrews biological station obis digital,dfo maritimes research vessel trawl surveys fish observations obis canada,0.12418384329791321,NA
fluctuations and long term trends in the relative densities of tetraonid populations in finland 1964 77,fluctuations and long term in the relative densities of tetraonid populations in finland 1964 77,0.1302926105717368,NA
dfo maritimes research vessel trawl surveys fish observations saint andrews biological station obis digital,dfo maritimes research vessel trawl surveys invertebrate observations obis canada,0.16619590555208408,NA
breeding bird census programme,breeding birds survey north america,0.17503052503052507,NA
population trends of laridae and sternidae breeding in the comacchio lagoon ne italy between 1977 and 2001 evoluzione delle popolazioni di laridae e sternidae nidificanti nelle valli di comacchio nel periodo 1997 2001,population trends of laridae and sternidae breeding in the comacchio laggon ne italy between 1977 and 2001,0.17518766484073856,NA
long term monitoring of dzanga bai forest elephants forest clearing use patterns,long term monitoring dataset of fish assemblages impinged at nuclear power plants in northern taiwan,0.19277777777777794,NA
long term monitoring of dzanga bai forest elephants forest clearing use patterns,long term monitoring of fish abundances from coastal skagerrak,0.19363181312569533,NA
long term monitoring of pyrenean chamois in a protected area reveals fluctuating population,long term monitoring and experimental manipulation of a chihuahuan desert ecosystem near portal arizona,0.19787750798601755,NA
empirical assessment of fish introductions in a subtropical wetland an evaluation of contrasting views,NA,0,empirical assessment of fish introductions in a subtropical wetland an evaluation of contrasting views
empirical assessment of fish introductions in a subtropical wetland an evaluation of contrasting views,NA,0,empirical assessment of fish introductions in a subtropical wetland an evaluation of contrasting views
dynamics of an introduced population of mouflon ovis aries on the sub antarctic archipelago of kerguelen,NA,0.014531989046552063,dynamics of an introduced population of mouflon ovis aries on the sub antartic archipelago of kerguelen
demography and dynamics of a stoat mustela erminea population in a diverse community of vertebrates,NA,0.19968296131086827,demographic reponses of house mice to density and temperature on sub antartic marion island
