gpd.fuzzy.title,bioTIME.fuzzy.title,boombust.fuzzy.title,jw_dist
stability in a multi species assemblage of large herbivores in east africa,stability in a multi species assemblage of large herbivores in east africa,NA,0
the composition and dynamics of the passerine bird community in a subalpine birch forest swedish lapland a 20 year study,the composition and dynamics of the passerine bird community in a subalpine birch forest swedish lapland a 20 year study,NA,0
bird community dynamics in a temperate deciduous forest long term trends at hubbard brook,bird community dynamics in a temperate deciduous forest long term trends at hubbard brook,NA,0
an 11 year study of small mammal populations at mont st hilaire quebec,an 11 year study of small mammal populations at mont st hilaire quebec,NA,0
long term dynamics of small mammal populations in ontario,long term dynamics of small mammal populations in ontario,NA,0
a transect survey of small land carnivore and red fox populations on a subarctic fell in finnish forest lapland over 13 winters,a transect survey of small land carnivore and red fox populations on a subarctic fell in finnish forest lapland over 13 winters,NA,0
changes in breeding bird populations of an oak wood on bookham common surrey over twenty seven years,changes in breeding bird populations of an oak wood on bookham common surrey over twenty seven years,NA,0
the composition and dynamics of the passerine bird community in a subalpine birch forest swedish lapland a 20 year study,the composition and dynamics of the passerine bird community in a subalpine birch forest swedish lapland a 20 year study,NA,0
fluctuations in abundance of large herbivore populations insights into the influence of dry season rainfall and elephant numbers from long term data,fluctuations in abundance of large herbivore populations insights into the influence of dry season rainfall and elephant numbers from long term data,NA,0
long term decline of a winter resident bird community in puerto rico,long term decline of a winter resident bird community in puerto rico,NA,0
the response of anolis lizards to hurricane induced habitat changes in a puerto rican rain forest,the response of anolis lizards to hurricane induced habitat changes in a puerto rican rain forest,NA,0
bird populations in east central illinois fluctuations variation and development over half a century,bird populations in east central illinois fluctuations variations and development over a half century,NA,0.01330033
bird populations in east central illinois fluctuations variation and development over half a century,bird populations in east central illinois fluctuations variations and development over a half century,NA,0.01330033
bird populations in east central illinois fluctuations variation and development over half a century,bird populations in east central illinois fluctuations variations and development over a half century,NA,0.01330033
nest population size and potential production of geese and spectacled eiders on the yukon kuskokwim delta alaska 2009 u s f a w service,nest population size and potential production of geese and spectacled eiders on the yukon kuskokwim delta alaska 1985 2013,NA,0.063803652
dfo maritimes research vessel trawl surveys fish observations saint andrews biological station obis digital,dfo maritimes research vessel trawl surveys fish observations obis canada,NA,0.124183843
fluctuations and long term trends in the relative densities of tetraonid populations in finland 1964 77,fluctuations and long term in the relative densities of tetraonid populations in finland 1964 77,NA,0.130292611
empirical assessment of fish introductions in a subtropical wetland an evaluation of contrasting views,NA,empirical assessment of fish introductions in a subtropical wetland an evaluation of contrasting views,0
empirical assessment of fish introductions in a subtropical wetland an evaluation of contrasting views,NA,empirical assessment of fish introductions in a subtropical wetland an evaluation of contrasting views,0
dynamics of an introduced population of mouflon ovis aries on the sub antarctic archipelago of kerguelen,NA,dynamics of an introduced population of mouflon ovis aries on the sub antartic archipelago of kerguelen,0.014531989
